id;title;roleIds;scenarioIds;trainingIds
COMP-01;Ведение штатного режима;trainee|operator;SC-14;MT-FEED-01|MT-ELOU-01|MT-FURN-01
COMP-02;Подача и транспорт сырья;trainee|operator;SC-01|SC-08|SC-14;MT-FEED-01|MT-FEED-02
COMP-03;Обессоливание и обезвоживание;trainee|operator;SC-11|MVP-ELOU-01;MT-ELOU-01|MT-ELOU-02|MT-E1-01
COMP-04;Печной тракт;trainee|operator;SC-02|SC-07|MVP-FURN-01;MT-FURN-01
COMP-05;Колонное оборудование;trainee|operator;SC-05|SC-12|SC-13;MT-K1-01|MT-K1-02|MT-K2-01|MT-K2-02
COMP-06;Инженерные системы;trainee|operator|instrumentation;SC-03|SC-04|SC-05|SC-06;MT-UTIL-01|MT-SAFE-01
COMP-07;Газовая безопасность и вентиляция;trainee|operator|shift-supervisor;SC-09|SC-10;MT-VENT-01
COMP-08;Координация аварийных действий;instructor|operator|instrumentation|shift-supervisor;SC-02|SC-03|SC-07|SC-08;
COMP-09;Разбор траектории и адаптивное обучение;trainee|instructor|methodologist;;
COMP-10;Управление контентом и аудитом;administrator|methodologist|security-admin;;
