sessionId,operatorId,scenarioId,sequencePosition,previousAction,expectedAction,responseSeconds,pauseSeconds,duplicateCount,actionValue,valveL1,feedFlow,pressureK1,pressureK2,levelK1,levelK2,temperatureFurnace,gasPercent,saltMgL,waterAfterElou,powerOk,instrumentAirOk,coolingWaterOk,ventElouOk,riskId,candidateAction,willError,riskClass,riskScore,predictedErrorLabel
synthetic-00363,operator-08,SC-05,8,alarm-K1-high,restore-cooling,87.93,106.17,0,30.4,100.0,521.1,2.37,0.56,59.2,71.1,305.6,29.2,2.52,0.076,True,True,True,False,risk-007310,start-N2,1,HIGH,70,RESPONSE_TIME_ERROR
synthetic-00381,operator-08,SC-14,2,alarm-K1-high,restore-cooling,146.28,87.36,0,41.3,98.5,552.9,4.66,0.77,39.8,74.4,310.7,8.9,4.48,0.094,True,True,False,True,risk-007118,set-fuel,1,HIGH,72,RESPONSE_TIME_ERROR
synthetic-00807,operator-04,SC-10,8,open-L1,protect-K2,23.67,18.76,0,53.3,97.7,581.9,2.41,0.52,44.2,13.3,353.7,8.0,3.11,0.109,True,True,True,True,risk-007702,set-fuel,1,HIGH,83,CRITICAL_OPERATION_ERROR
synthetic-00553,operator-20,SC-01,9,open-L1,set-fuel-45,9.0,18.46,0,87.0,99.0,303.5,4.65,0.65,59.8,51.4,377.8,7.2,4.26,0.102,True,True,True,True,risk-007676,set-fuel,1,HIGH,75,PARAMETER_ERROR
synthetic-00486,operator-20,SC-12,10,start-N1,check-process-state,14.46,2.53,5,36.9,97.3,775.2,3.03,0.43,67.0,50.0,353.2,0.1,3.52,0.14,True,True,True,True,risk-001298,start-N1,1,MEDIUM,41,DUPLICATE_COMMAND
synthetic-00367,operator-11,SC-13,12,alarm-K1-high,restore-cooling,68.13,128.15,0,50.4,96.4,849.8,4.16,0.41,70.5,44.0,319.7,6.4,3.3,0.071,True,True,False,True,risk-007105,restore-cooling,1,HIGH,81,RESPONSE_TIME_ERROR
synthetic-00363,operator-10,SC-07,12,alarm-K1-high,restore-cooling,83.59,114.76,0,40.3,96.2,826.9,1.99,0.53,49.9,53.6,352.8,27.3,3.36,0.133,True,True,True,False,risk-004918,protect-K1,1,MEDIUM,58,RESPONSE_TIME_ERROR
synthetic-00467,operator-04,SC-08,5,start-N1,check-process-state,6.58,0.72,4,31.0,96.8,519.1,1.99,0.65,52.8,44.8,302.5,11.7,3.8,0.089,True,True,True,True,risk-005790,start-N1,1,MEDIUM,52,DUPLICATE_COMMAND
synthetic-00122,operator-10,SC-05,3,open-L1,protect-K2,27.08,23.7,0,27.2,99.7,731.8,2.78,0.42,69.8,60.1,332.4,8.5,3.95,0.056,True,True,True,True,risk-009981,protect-K2,0,LOW,17,NORMAL
synthetic-00822,operator-13,SC-08,6,start-N1,protect-K1,5.52,10.04,0,71.3,97.0,433.5,2.03,0.35,13.1,37.3,304.2,7.8,3.7,0.088,True,True,True,True,risk-008759,set-fuel,1,HIGH,99,CRITICAL_OPERATION_ERROR
synthetic-00102,operator-11,SC-14,3,set-fuel-45,restore-cooling,6.15,5.95,0,52.6,95.2,881.5,2.8,0.56,74.0,53.0,335.4,3.2,4.45,0.047,True,True,True,True,risk-004935,restore-cooling,0,LOW,8,NORMAL
synthetic-00002,operator-01,SC-06,12,restore-cooling,restore-cooling,6.3,9.3,0,50.9,98.4,552.8,1.99,0.38,52.0,40.3,322.0,9.4,4.74,0.12,True,True,True,True,risk-002301,restore-cooling,0,LOW,18,NORMAL
synthetic-00031,operator-10,SC-01,12,start-N1,start-N2,10.15,6.41,0,21.0,97.5,548.1,3.12,0.4,36.9,62.5,300.7,9.9,3.25,0.053,True,True,True,True,risk-002612,start-N2,0,LOW,20,NORMAL
synthetic-00077,operator-04,SC-14,8,start-N1,protect-K2,9.28,9.69,0,53.8,99.5,609.0,2.09,0.78,53.7,56.0,332.7,6.3,4.69,0.059,True,True,True,True,risk-003884,protect-K2,0,LOW,8,NORMAL
synthetic-00446,operator-04,SC-05,11,alarm-K1-high,cut-fuel,104.06,146.67,0,37.5,97.1,672.3,4.1,0.4,35.7,64.9,342.2,5.1,3.04,0.144,True,True,False,True,risk-007494,protect-K1,1,MEDIUM,63,RESPONSE_TIME_ERROR
synthetic-00778,operator-03,SC-05,6,check-alarm,protect-K2,8.67,6.58,0,81.2,99.0,452.4,2.69,0.5,47.7,4.7,326.4,5.5,3.39,0.067,True,True,True,True,risk-006886,set-fuel,1,HIGH,95,CRITICAL_OPERATION_ERROR
