sessionId,operatorId,scenarioId,sequencePosition,action,previousAction,expectedAction,responseSeconds,pauseSeconds,duplicateCount,actionValue,valveL1,feedFlow,pressureK1,pressureK2,levelK1,levelK2,temperatureFurnace,gasPercent,saltMgL,waterAfterElou,powerOk,instrumentAirOk,coolingWaterOk,ventElouOk,label
synthetic-00741,operator-16,SC-10,8,start-N2,set-fuel-45,restore-utility-or-prepare-equipment,11.75,14.26,0,54.1,95.3,846.7,3.17,0.48,46.1,70.1,325.2,2.4,3.24,0.145,False,True,True,True,EQUIPMENT_NOT_READY
synthetic-00721,operator-04,SC-05,12,start-N2,start-N1,restore-utility-or-prepare-equipment,7.93,4.51,0,41.1,98.9,458.3,3.14,0.55,53.4,48.5,335.7,2.0,2.2,0.149,True,False,True,True,EQUIPMENT_NOT_READY
synthetic-00004,operator-15,SC-14,8,start-N2,start-N1,start-N2,16.8,22.98,0,24.1,99.2,456.4,1.92,0.47,70.8,52.8,325.4,5.4,4.5,0.056,True,True,True,True,NORMAL
synthetic-00518,operator-13,SC-13,6,restore-cooling,restore-cooling,check-process-state,6.05,2.17,4,28.6,99.2,692.8,1.83,0.66,68.5,71.3,318.8,8.0,3.94,0.106,True,True,True,True,DUPLICATE_COMMAND
synthetic-00466,operator-02,SC-07,1,set-fuel-45,set-fuel-45,check-process-state,20.47,0.87,5,54.8,99.9,575.3,1.83,0.57,39.8,35.6,305.5,6.8,3.82,0.092,True,True,True,True,DUPLICATE_COMMAND
synthetic-00705,operator-08,SC-06,1,set-fuel,set-fuel-45,restore-utility-or-prepare-equipment,20.77,16.14,0,41.1,98.5,450.3,4.22,0.51,46.6,35.4,353.1,8.9,2.11,0.131,True,True,False,True,EQUIPMENT_NOT_READY
synthetic-00220,operator-08,SC-06,9,start-N1,check-alarm,open-L1,13.54,6.95,0,22.6,64.2,5.2,2.24,0.65,48.3,35.0,308.0,11.9,2.01,0.131,True,True,True,True,SEQUENCE_ERROR
synthetic-00122,operator-17,SC-12,12,restore-cooling,check-alarm,restore-cooling,20.62,5.01,0,24.2,96.2,506.7,2.39,0.77,52.9,48.0,313.1,3.1,4.2,0.067,True,True,True,True,NORMAL
synthetic-00100,operator-02,SC-08,9,restore-cooling,open-L1,restore-cooling,27.28,3.54,0,30.3,95.4,465.7,2.47,0.37,51.7,73.3,318.9,7.0,3.42,0.15,True,True,True,True,NORMAL
synthetic-00221,operator-19,SC-12,4,start-N1,drain-E1,open-L1,11.28,22.0,0,25.4,2.9,228.9,2.36,0.6,39.2,37.0,304.6,10.3,2.55,0.077,True,True,True,True,SEQUENCE_ERROR
synthetic-00442,operator-19,SC-13,6,set-fuel,alarm-K1-high,protect-K1,104.68,83.65,0,22.0,95.0,494.9,4.38,0.52,72.4,54.9,315.3,5.0,3.14,0.056,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00205,operator-11,SC-08,2,toggle-electric-field,set-fuel-45,toggle-electric-field,10.58,13.52,0,46.5,97.1,581.4,2.51,0.59,44.2,38.4,339.3,7.4,2.69,0.096,True,True,True,True,NORMAL
synthetic-00193,operator-05,SC-07,7,restore-ventilation,set-fuel-45,restore-ventilation,18.99,13.5,0,47.2,97.6,530.1,2.18,0.37,54.4,40.4,343.1,7.5,2.15,0.113,True,True,True,True,NORMAL
synthetic-00513,operator-23,SC-05,6,restore-cooling,restore-cooling,check-process-state,24.86,2.82,4,33.8,95.6,850.6,2.27,0.72,64.4,67.0,304.6,1.8,2.72,0.127,True,True,True,True,DUPLICATE_COMMAND
synthetic-00757,operator-14,SC-07,5,set-fuel,restore-cooling,protect-K1,16.67,19.9,0,50.9,97.9,621.3,2.16,0.43,13.2,60.6,311.6,9.2,2.43,0.109,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00717,operator-14,SC-10,6,start-N1,open-L1,restore-utility-or-prepare-equipment,17.3,21.17,0,50.4,96.1,644.2,2.71,0.72,65.6,43.1,347.0,3.6,2.74,0.094,True,False,True,True,EQUIPMENT_NOT_READY
synthetic-00143,operator-02,SC-06,7,restore-ventilation,open-L1,restore-ventilation,21.97,12.52,0,24.2,96.9,887.3,2.81,0.46,45.7,43.8,311.9,6.5,2.57,0.121,True,True,True,True,NORMAL
